Site ID,Ozone,Units,QA Code,Update_Date,Ozone F,Selected Date_Time
Inyo,73,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 4:00:00 PM
Inyo,76,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 3:00:00 PM
Inyo,79,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 2:00:00 PM
Inyo,77,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 1:00:00 PM
Inyo,67,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 12:00:00 PM
Mariposa,81,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 12:00:00 PM
Mariposa,80,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 11:00:00 AM
San Bernardino,92,PPB,3,9/26/2022 11:45:39 AM,-,7/22/2022 6:00:00 PM
San Benito,62,PPB,3,9/26/2022 11:45:39 AM,-,7/22/2022 6:00:00 PM
San Bernardino,99,PPB,3,9/26/2022 11:45:39 AM,-,7/22/2022 5:00:00 PM
Shasta,63,PPB,3,9/26/2022 11:45:39 AM,-,7/22/2022 5:00:00 PM
San Benito,61,PPB,3,9/26/2022 11:45:39 AM,-,7/22/2022 4:00:00 PM
Mariposa,73,PPB,3,9/26/2022 11:45:39 AM,-,7/22/2022 10:00:00 AM
San Benito,76,PPB,3,9/26/2022 11:45:39 AM,-,7/21/2022 6:00:00 PM
Shasta,23,PPB,3,9/26/2022 11:45:39 AM,-,7/20/2022 6:00:00 AM
Tulare,79,PPB,3,9/26/2022 11:45:39 AM,-,7/15/2022 7:00:00 PM
Tulare,93,PPB,3,9/26/2022 11:45:39 AM,-,7/15/2022 4:00:00 PM
Tulare,91,PPB,3,9/26/2022 11:45:39 AM,-,7/14/2022 5:00:00 PM
Tulare,98,PPB,3,9/26/2022 11:45:39 AM,-,7/14/2022 4:00:00 PM
Tulare,95,PPB,3,9/26/2022 11:45:39 AM,-,7/14/2022 3:00:00 PM
Mariposa,21,PPB,3,9/26/2022 11:45:39 AM,-,7/5/2022 6:00
San Benito,0,PPB,3,9/26/2022 11:45:39 AM,-,7/5/2022 5:00
Tulare,31,PPB,3,9/26/2022 11:45:39 AM,-,7/5/2022 5:00
San Benito,1,PPB,3,9/26/2022 11:45:39 AM,-,7/5/2022 4:00
San Benito,4,PPB,3,9/26/2022 11:45:39 AM,-,7/5/2022 3:00
Shasta,14,PPB,3,9/26/2022 11:45:39 AM,-,7/4/2022 23:00
Tulare,26,PPB,3,9/26/2022 11:45:39 AM,-,7/4/2022 5:00
Tulare,29,PPB,3,9/26/2022 11:45:39 AM,-,7/4/2022 1:00
Tulare,32,PPB,3,9/26/2022 11:45:39 AM,-,7/3/2022 4:00
Inyo,31,PPB,3,9/26/2022 11:45:39 AM,-,7/2/2022 14:00
