COUNTY,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
Shasta,8,2016,2/23/2016 8:00:00 AM,0.019,0.034,0.096,0.037,0.007,0.007,0.043,0.039,0.055,0.203,0.077,0.132,0.15,2/16/2016
Shasta,8,2017,2/28/2017 8:00:00 AM,0.013,0.028,0.066,0.026,0.008,0.005,0.029,0.075,0.057,0.443,0.169,0.162,0.122,2/21/2017
Shasta,8,2018,2/27/2018 8:00:00 AM,0.022,0.026,0.073,0.028,0.019,0.007,0.039,0.056,0.09,0.129,0.049,0.155,0.161,2/20/2018
Shasta,8,2019,2/26/2019 8:00:00 AM,0.028,0.013,0.119,0.046,0.01,0.006,0.019,0.045,0.062,0.102,0.039,0.113,0.18,2/19/2019
Shasta,8,2020,2/25/2020 8:00:00 AM,0.108,0.022,0.176,0.068,0.027,0.02,0.078,0.133,0.217,0.224,0.085,0.42,0.391,2/18/2020
Shasta,8,2021,2/23/2021 8:00:00 AM,0.055,0.183,0.33,0.128,0.058,0.028,0.046,0.236,0.325,0.761,0.29,0.367,0.65,2/16/2021
Shasta,8,2022,3/1/2022 8:00,0.023,0.007,0.091,0.035,0.009,0.004,0.017,0.055,0.048,0.076,0.029,0.143,0.137,2/22/2022
Shasta,9,2015,3/3/2015 8:00,0.019,0.021,0.096,0.037,0.013,0.004,0.011,0.08,0.043,0.335,0.128,0.165,0.137,2/24/2015
Shasta,9,2016,3/1/2016 8:00,0.046,0.015,0.069,0.027,0.016,0.01,0.025,0.057,0.077,0.214,0.082,0.165,0.144,2/23/2016
Shasta,9,2017,3/7/2017 8:00,0.022,0.016,0.092,0.036,0.009,0.005,0.023,0.052,0.068,0.322,0.123,0.128,0.158,2/28/2017
Shasta,9,2018,3/6/2018 8:00,0.012,0.041,0.047,0.018,0.01,0.004,0.038,0.02,0.034,0.099,0.038,0.075,0.08,2/27/2018
Shasta,9,2019,3/5/2019 8:00,0.015,0.035,0.059,0.023,0.009,0.009,0.046,0.037,0.092,0.078,0.03,0.119,0.15,2/26/2019
Shasta,9,2020,3/3/2020 8:00,0.068,0.018,0.237,0.092,0.025,0.014,0.079,0.114,0.221,0.189,0.072,0.306,0.455,2/25/2020
Shasta,9,2021,3/2/2021 8:00,0.02,0.027,0.036,0.014,0.01,0.006,0.035,0.037,0.043,0.136,0.052,0.105,0.078,2/23/2021
Shasta,9,2022,3/8/2022 8:00,0.035,0.03,0.085,0.033,0.02,0.009,0.094,0.068,0.106,0.11,0.042,0.189,0.189,3/1/2022
Shasta,10,2015,3/10/2015 8:00,0.236,0.023,0.115,0.045,0.043,0.041,0.084,0.114,0.111,0.376,0.143,0.458,0.224,3/3/2015
Shasta,10,2016,3/8/2016 8:00,0.016,0.044,0.096,0.037,0.009,0.007,0.038,0.034,0.049,0.104,0.04,0.119,0.144,3/1/2016
Shasta,10,2017,3/14/2017 8:00:00 AM,0.025,0.018,0.07,0.027,0.013,0.005,0.01,0.084,0.035,0.149,0.057,0.189,0.104,3/7/2017
Shasta,10,2018,3/13/2018 8:00:00 AM,0.009,0.015,0.1,0.039,0.007,0.003,0.015,0.039,0.037,0.146,0.056,0.065,0.135,3/6/2018
Shasta,10,2019,3/12/2019 8:00,0.013,0.016,0.04,0.016,0.007,0.004,0.016,0.039,0.042,0.092,0.035,0.091,0.081,3/5/2019
Shasta,10,2020,3/10/2020 8:00,0.04,0.015,0.268,0.104,0.018,0.009,0.036,0.114,0.186,0.109,0.042,0.311,0.45,3/3/2020
Shasta,10,2021,3/9/2021 8:00,0.043,0.015,0.109,0.042,0.015,0.01,0.04,0.054,0.125,0.143,0.055,0.158,0.232,3/2/2021
Shasta,10,2022,3/15/2022 8:00:00 AM,0.018,0.029,0.083,0.032,0.006,0.006,0.024,0.019,0.037,0.065,0.025,0.072,0.119,3/8/2022
Shasta,11,2015,3/17/2015 8:00:00 AM,0.089,0.062,0.294,0.114,0.027,0.019,0.039,0.116,0.23,0.828,0.316,0.265,0.519,3/10/2015
Shasta,11,2016,3/15/2016 8:00:00 AM,0.031,0.05,0.041,0.016,0.007,0.009,0.04,0.035,0.064,0.142,0.054,0.132,0.104,3/8/2016
Shasta,11,2017,3/21/2017 8:00:00 AM,0.039,0.018,0.312,0.121,0.016,0.008,0.022,0.129,0.109,0.285,0.109,0.358,0.416,3/14/2017
Shasta,11,2018,3/20/2018 8:00:00 AM,0.009,0.013,0.04,0.016,0.007,0.005,0.021,0.031,0.057,0.077,0.029,0.078,0.096,3/13/2018
Shasta,11,2019,3/19/2019 8:00:00 AM,0.027,0.015,0.072,0.028,0.013,0.007,0.015,0.097,0.039,0.127,0.048,0.221,0.11,3/12/2019
Shasta,11,2020,3/17/2020 8:00:00 AM,0.029,0.077,0.098,0.038,0.015,0.014,0.069,0.08,0.104,0.076,0.029,0.256,0.201,3/10/2020
Shasta,11,2021,3/16/2021 8:00:00 AM,0.011,0.014,0.038,0.015,0.007,0.004,0.014,0.025,0.029,0.097,0.037,0.083,0.066,3/9/2021
Shasta,11,2022,3/22/2022 8:00:00 AM,0.071,0.018,0.076,0.029,0.016,0.016,0.051,0.07,0.175,0.059,0.023,0.242,0.25,3/15/2022
Shasta,12,2015,3/24/2015 8:00:00 AM,0.047,0.041,0.134,0.052,0.016,0.016,0.055,0.093,0.15,0.206,0.079,0.291,0.282,3/17/2015
Shasta,12,2016,3/22/2016 8:00:00 AM,0.096,0.041,0.063,0.024,0.02,0.023,0.047,0.073,0.173,0.117,0.045,0.297,0.235,3/15/2016
Shasta,12,2017,3/28/2017 8:00:00 AM,0.032,0.03,0.107,0.042,0.011,0.008,0.026,0.092,0.076,0.566,0.216,0.236,0.181,3/21/2017
Shasta,12,2018,3/27/2018 8:00:00 AM,0.013,0.063,0.032,0.012,0.008,0.008,0.051,0.051,0.044,0.1,0.038,0.111,0.076,3/20/2018
Shasta,12,2019,3/26/2019 8:00:00 AM,0.057,0.015,0.11,0.043,0.022,0.017,0.047,0.097,0.138,0.104,0.04,0.356,0.247,3/19/2019
Shasta,12,2020,3/24/2020 8:00:00 AM,0.016,0.027,0.105,0.041,0.011,0.007,0.033,0.079,0.073,0.091,0.035,0.209,0.177,3/17/2020
Shasta,12,2021,3/23/2021 8:00:00 AM,0.02,0.015,0.032,0.012,0.011,0.007,0.015,0.028,0.047,0.072,0.027,0.078,0.078,3/16/2021
Shasta,12,2022,3/29/2022 8:00:00 AM,0.092,0.014,0.16,0.062,0.022,0.018,0.041,0.078,0.19,0.115,0.044,0.27,0.348,3/22/2022
Shasta,13,2015,3/31/2015 8:00:00 AM,0.049,0.015,0.145,0.056,0.016,0.01,0.026,0.092,0.101,0.244,0.093,0.22,0.243,3/24/2015
Shasta,13,2016,3/29/2016 8:00:00 AM,0.042,0.025,0.064,0.025,0.014,0.012,0.039,0.082,0.12,0.212,0.081,0.241,0.182,3/22/2016
Shasta,13,2017,4/4/2017 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,3/28/2017
Shasta,13,2018,4/3/2018 8:00,0.088,0.015,0.1,0.039,0.022,0.02,0.018,0.135,0.121,0.094,0.036,0.37,0.22,3/27/2018
Shasta,13,2019,4/2/2019 8:00,0.036,0.036,0.04,0.016,0.016,0.014,0.049,0.037,0.091,0.097,0.037,0.187,0.131,3/26/2019
Shasta,13,2020,3/31/2020 8:00:00 AM,0.014,0.015,0.103,0.04,0.01,0.006,0.019,0.07,0.056,0.072,0.027,0.208,0.157,3/24/2020
Shasta,13,2021,3/30/2021 8:00:00 AM,0.037,0.014,0.042,0.016,0.012,0.009,0.022,0.042,0.043,0.11,0.042,0.119,0.084,3/23/2021
Shasta,13,2022,4/5/2022 8:00,0.101,0.042,0.121,0.047,0.022,0.024,0.065,0.101,0.164,0.093,0.035,0.334,0.283,3/29/2022
Shasta,14,2015,4/7/2015 8:00,0.058,0.015,0.12,0.047,0.031,0.017,0.054,0.185,0.153,0.296,0.113,0.599,0.271,3/31/2015
Shasta,14,2016,4/5/2016 8:00,0.122,0.087,0.057,0.022,0.071,0.033,0.416,0.151,0.345,0.204,0.078,0.499,0.402,3/29/2016
Shasta,14,2017,4/11/2017 8:00,0.034,0.081,0.058,0.023,0.017,0.014,0.086,0.111,0.154,0.231,0.088,0.33,0.211,4/4/2017
Shasta,14,2018,4/10/2018 8:00,0.118,0.03,0.202,0.078,0.043,0.034,0.124,0.132,0.289,0.172,0.066,0.542,0.488,4/3/2018
Shasta,14,2019,4/9/2019 8:00,0.023,0.015,0.122,0.047,0.015,0.009,0.019,0.059,0.063,0.059,0.023,0.199,0.182,4/2/2019
Shasta,14,2020,4/7/2020 8:00,0.027,0.015,0.096,0.037,0.014,0.008,0.022,0.09,0.076,0.116,0.044,0.258,0.17,3/31/2020
Shasta,14,2021,4/6/2021 8:00,0.089,0.016,0.105,0.041,0.024,0.022,0.075,0.096,0.262,0.13,0.05,0.349,0.365,3/30/2021
Shasta,14,2022,4/12/2022 8:00,0.216,0.103,0.091,0.035,0.033,0.042,0.131,0.094,0.218,0.104,0.04,0.507,0.307,4/5/2022
Shasta,15,2015,4/14/2015 8:00:00 AM,0.14,0.014,0.17,0.066,0.021,0.026,0.037,0.114,0.179,0.283,0.108,0.375,0.346,4/7/2015
Shasta,15,2016,4/12/2016 8:00,0.05,0.014,0.111,0.043,0.019,0.013,0.041,0.117,0.217,0.084,0.032,0.3,0.326,4/5/2016
Shasta,15,2017,4/18/2017 8:00:00 AM,0.04,0.017,0.094,0.036,0.013,0.011,0.026,0.073,0.091,0.183,0.07,0.253,0.183,4/11/2017
Shasta,15,2018,4/17/2018 8:00:00 AM,0.097,0.064,0.116,0.045,0.026,0.029,0.059,0.082,0.169,0.407,0.155,0.288,0.283,4/10/2018
Shasta,15,2019,4/16/2019 8:00:00 AM,0.024,0.015,0.114,0.044,0.015,0.011,0.046,0.066,0.078,0.11,0.042,0.287,0.189,4/9/2019
Shasta,15,2020,4/14/2020 8:00:00 AM,0.06,0.014,0.138,0.054,0.025,0.018,0.049,0.129,0.121,0.125,0.048,0.396,0.256,4/7/2020
Shasta,15,2021,4/13/2021 8:00:00 AM,0.068,0.042,0.107,0.042,0.028,0.021,0.154,0.107,0.239,0.088,0.034,0.326,0.344,4/6/2021
Shasta,15,2022,4/19/2022 8:00:00 AM,0.058,0.019,0.067,0.026,0.018,0.015,0.046,0.073,0.132,0.063,0.024,0.288,0.199,4/12/2022
Shasta,16,2015,4/21/2015 8:00:00 AM,0.081,0.014,0.141,0.055,0.025,0.014,0.035,0.205,0.118,0.221,0.084,0.497,0.257,4/14/2015
Shasta,16,2016,4/19/2016 8:00:00 AM,0.077,0.014,0.162,0.063,0.022,0.019,0.051,0.153,0.129,0.23,0.088,0.482,0.288,4/12/2016
Shasta,16,2017,4/25/2017 8:00:00 AM,0.045,0.018,0.095,0.037,0.025,0.017,0.066,0.129,0.139,0.147,0.056,0.422,0.233,4/18/2017
Shasta,16,2018,4/24/2018 8:00:00 AM,0.101,0.015,0.148,0.057,0.029,0.025,0.03,0.148,0.171,0.152,0.058,0.403,0.316,4/17/2018
Shasta,16,2019,4/23/2019 8:00:00 AM,0.028,0.015,0.133,0.052,0.017,0.009,0.017,0.077,0.045,0.132,0.05,0.223,0.176,4/16/2019
Shasta,16,2020,4/21/2020 8:00:00 AM,0.075,0.067,0.108,0.042,0.048,0.028,0.214,0.123,0.366,0.088,0.034,0.523,0.472,4/14/2020
Shasta,16,2021,4/20/2021 8:00:00 AM,0.12,0.045,0.095,0.037,0.032,0.024,0.156,0.138,0.227,0.124,0.047,0.433,0.321,4/13/2021
Shasta,16,2022,4/26/2022 8:00:00 AM,0.051,0.071,0.085,0.033,0.023,0.016,0.083,0.107,0.183,0.092,0.035,0.31,0.267,4/19/2022
Shasta,17,2015,4/28/2015 8:00:00 AM,0.081,0.036,0.282,0.109,0.033,0.023,0.085,0.205,0.231,0.243,0.093,0.516,0.509,4/21/2015
Shasta,17,2016,4/26/2016 8:00:00 AM,0.083,0.019,0.219,0.085,0.022,0.019,0.06,0.125,0.15,0.188,0.072,0.428,0.365,4/19/2016
Shasta,17,2017,5/2/2017 8:00,0.046,0.015,0.121,0.047,0.015,0.011,0.021,0.131,0.093,0.23,0.088,0.359,0.212,4/25/2017
Shasta,17,2018,5/1/2018 8:00,0.069,0.014,0.204,0.079,0.025,0.022,0.07,0.105,0.18,0.172,0.066,0.452,0.381,4/24/2018
Shasta,17,2019,4/30/2019 8:00:00 AM,0.061,0.018,0.225,0.087,0.034,0.024,0.116,0.14,0.29,0.151,0.058,0.418,0.511,4/23/2019
Shasta,17,2020,4/28/2020 8:00:00 AM,0.07,0.015,0.138,0.054,0.024,0.02,0.038,0.122,0.161,0.083,0.032,0.36,0.297,4/21/2020
Shasta,17,2021,4/27/2021 8:00:00 AM,0.085,0.101,0.072,0.028,0.038,0.032,0.247,0.057,0.349,0.124,0.047,0.406,0.419,4/20/2021
Shasta,17,2022,5/3/2022 8:00,0.066,0.028,0.081,0.031,0.02,0.016,0.058,0.099,0.189,0.158,0.06,0.341,0.269,4/26/2022
Shasta,18,2015,5/5/2015 8:00,0.111,0.015,0.366,0.142,0.033,0.027,0.14,0.3,0.428,0.391,0.149,0.756,0.789,4/28/2015
Shasta,18,2016,5/3/2016 8:00,0.045,0.014,0.074,0.029,0.016,0.01,0.039,0.153,0.126,0.13,0.05,0.376,0.199,4/26/2016
Shasta,18,2017,5/9/2017 8:00,0.05,0.015,0.156,0.061,0.018,0.012,0.059,0.096,0.111,0.261,0.1,0.234,0.264,5/2/2017
Shasta,18,2018,5/8/2018 8:00,0.079,0.014,0.208,0.081,0.024,0.022,0.066,0.148,0.24,0.166,0.063,0.391,0.446,5/1/2018
Shasta,18,2019,5/7/2019 8:00,0.077,0.019,0.16,0.062,0.04,0.03,0.12,0.165,0.303,0.157,0.06,0.474,0.461,4/30/2019
Shasta,18,2020,5/5/2020 8:00,0.079,0.014,0.254,0.099,0.031,0.022,0.041,0.138,0.131,0.166,0.063,0.432,0.381,4/28/2020
Shasta,18,2021,5/4/2021 8:00,0.074,0.015,0.16,0.062,0.026,0.019,0.033,0.113,0.115,0.162,0.062,0.301,0.272,4/27/2021
Shasta,18,2022,5/10/2022 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,5/3/2022
Shasta,19,2015,5/12/2015 8:00,0.184,0.052,0.129,0.05,0.045,0.034,0.232,0.194,0.456,0.207,0.079,0.725,0.584,5/5/2015
Shasta,19,2016,5/10/2016 8:00,0.048,0.016,0.316,0.123,0.027,0.015,0.059,0.111,0.067,0.212,0.081,0.473,0.378,5/3/2016
Mariposa,3,2019,1/22/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/15/2019
Mariposa,3,2020,1/21/2020 8:00:00 AM,0.016,0.015,0.153,0.059,0.012,0.003,0.019,0.061,0.066,0.107,0.041,0.15,0.217,1/14/2020
Mariposa,3,2021,1/19/2021 8:00:00 AM,0.07,0.007,0.139,0.054,0.02,0.008,0.04,0.025,0.138,0.096,0.037,0.163,0.275,1/12/2021
Mariposa,3,2022,1/25/2022 8:00:00 AM,0.019,0.015,0.26,0.101,0.015,0.003,0.015,0.092,0.042,0.117,0.045,0.173,0.298,1/18/2022
Mariposa,4,2015,1/27/2015 8:00:00 AM,0.019,0.015,0.105,0.041,0.008,0.003,0.012,0.052,0.046,0.198,0.076,0.131,0.149,1/20/2015
Mariposa,4,2016,1/26/2016 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/19/2016
Mariposa,4,2017,1/31/2017 8:00:00 AM,0.023,0.015,0.078,0.03,0.01,0.003,0.01,0.035,0.036,0.238,0.091,0.081,0.112,1/24/2017
Mariposa,4,2018,1/30/2018 8:00:00 AM,0.118,0.025,0.135,0.052,0.029,0.019,0.078,0.043,0.2,0.158,0.06,0.227,0.333,1/23/2018
Mariposa,4,2019,1/29/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/22/2019
Mariposa,4,2020,1/28/2020 8:00:00 AM,0.023,0.015,0.286,0.111,0.024,0.005,0.017,0.08,0.027,0.108,0.041,0.266,0.308,1/21/2020
Mariposa,4,2021,1/26/2021 8:00:00 AM,0.07,0.007,0.137,0.053,0.02,0.008,0.04,0.025,0.138,0.096,0.037,0.162,0.273,1/19/2021
Mariposa,4,2022,2/1/2022 8:00,0.047,0.015,0.301,0.117,0.019,0.006,0.027,0.096,0.118,0.153,0.058,0.185,0.415,1/25/2022
Mariposa,5,2015,2/3/2015 8:00,0.022,0.014,0.278,0.108,0.013,0.004,0.009,0.082,0.038,0.263,0.1,0.194,0.312,1/27/2015
Mariposa,5,2016,2/2/2016 8:00,0.018,0.015,0.071,0.028,0.008,0.003,0.011,0.031,0.027,0.239,0.091,0.092,0.097,1/26/2016
Mariposa,5,2017,2/7/2017 8:00,0.026,0.015,0.092,0.036,0.014,0.006,0.023,0.036,0.056,0.138,0.053,0.115,0.147,1/31/2017
Mariposa,5,2018,2/6/2018 8:00,0.077,0.015,0.157,0.061,0.018,0.01,0.03,0.086,0.079,0.092,0.035,0.217,0.234,1/30/2018
Mariposa,5,2019,2/5/2019 8:00,0.017,0.013,0.173,0.067,0.012,0.004,0.011,0.048,0.054,0.073,0.028,0.112,0.223,1/29/2019
Mariposa,5,2020,2/4/2020 8:00,0.019,0.015,0.135,0.052,0.027,0.006,0.03,0.062,0.066,0.106,0.04,0.155,0.199,1/28/2020
Mariposa,5,2021,2/2/2021 8:00,0.009,0.015,0.108,0.042,0.008,0.002,0.006,0.025,0.027,0.117,0.045,0.054,0.134,1/26/2021
Mariposa,5,2022,2/8/2022 8:00,0.057,0.015,0.69,0.268,0.024,0.007,0.048,0.13,0.128,0.142,0.054,0.305,0.807,2/1/2022
Mariposa,6,2015,2/10/2015 8:00,0.045,0.095,0.136,0.053,0.021,0.014,0.096,0.047,0.061,0.235,0.09,0.309,0.194,2/3/2015
Mariposa,6,2016,2/9/2016 8:00,0.026,0.015,0.09,0.035,0.007,0.003,0.01,0.044,0.027,0.228,0.087,0.132,0.115,2/2/2016
Mariposa,6,2017,2/14/2017 8:00:00 AM,0.019,0.015,0.073,0.028,0.008,0.004,0.013,0.043,0.031,0.299,0.114,0.12,0.103,2/7/2017
Mariposa,6,2018,2/13/2018 8:00:00 AM,0.167,0.104,0.249,0.097,0.066,0.027,0.324,0.059,0.403,0.19,0.073,0.591,0.648,2/6/2018
Mariposa,6,2019,2/12/2019 8:00,0.03,0.017,0.105,0.041,0.011,0.006,0.017,0.028,0.039,0.157,0.06,0.084,0.142,2/5/2019
Mariposa,6,2020,2/11/2020 8:00,0.072,0.045,0.375,0.146,0.028,0.013,0.094,0.099,0.181,0.142,0.054,0.24,0.55,2/4/2020
Mariposa,6,2021,2/9/2021 8:00,0.027,0.014,0.295,0.114,0.02,0.005,0.017,0.07,0.06,0.12,0.046,0.181,0.35,2/2/2021
Mariposa,6,2022,2/15/2022 8:00:00 AM,0.039,0.014,0.183,0.071,0.017,0.007,0.02,0.118,0.157,0.102,0.039,0.276,0.338,2/8/2022
Mariposa,7,2015,2/17/2015 8:00:00 AM,0.019,0.018,0.142,0.055,0.013,0.005,0.029,0.084,0.066,0.245,0.094,0.198,0.205,2/10/2015
Mariposa,7,2016,2/16/2016 8:00:00 AM,0.037,0.014,0.114,0.044,0.011,0.004,0.009,0.056,0.035,0.204,0.078,0.131,0.147,2/9/2016
Mariposa,7,2017,2/21/2017 8:00:00 AM,0.046,0.018,0.081,0.031,0.014,0.01,0.025,0.054,0.077,0.314,0.12,0.129,0.157,2/14/2017
Mariposa,7,2018,2/20/2018 8:00:00 AM,0.074,0.015,0.303,0.118,0.043,0.02,0.109,0.08,0.378,0.19,0.073,0.256,0.676,2/13/2018
Mariposa,7,2019,2/19/2019 8:00:00 AM,0.024,0.032,0.032,0.012,0.009,0.007,0.031,0.021,0.037,0.118,0.045,0.062,0.069,2/12/2019
Mariposa,7,2020,2/18/2020 8:00:00 AM,0.072,0.016,0.379,0.147,0.031,0.015,0.078,0.129,0.23,0.173,0.066,0.313,0.602,2/11/2020
Mariposa,7,2021,2/16/2021 8:00:00 AM,0.017,0.015,0.315,0.122,0.018,0.007,0.026,0.048,0.036,0.105,0.04,0.172,0.346,2/9/2021
Mariposa,7,2022,2/22/2022 8:00:00 AM,0.19,0.065,0.193,0.075,0.053,0.029,0.134,0.059,0.422,0.172,0.066,0.329,0.611,2/15/2022
Mariposa,8,2015,2/24/2015 8:00:00 AM,0.071,0.015,0.276,0.107,0.022,0.011,0.122,0.212,0.283,0.277,0.106,0.597,0.555,2/17/2015
Mariposa,8,2016,2/23/2016 8:00:00 AM,0.054,0.026,0.126,0.049,0.016,0.01,0.046,0.07,0.092,0.186,0.071,0.208,0.216,2/16/2016
Mariposa,8,2017,2/28/2017 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,2/21/2017
Mariposa,8,2018,2/27/2018 8:00:00 AM,0.038,0.015,0.227,0.088,0.027,0.009,0.035,0.166,0.406,0.129,0.049,0.178,0.63,2/20/2018
Mariposa,8,2019,2/26/2019 8:00:00 AM,0.103,0.015,0.338,0.131,0.022,0.019,0.03,0.128,0.23,0.128,0.049,0.354,0.563,2/19/2019
Mariposa,8,2020,2/25/2020 8:00:00 AM,0.113,0.015,0.619,0.24,0.042,0.029,0.112,0.2,0.396,0.166,0.063,0.59,1.005,2/18/2020
Mariposa,8,2021,2/23/2021 8:00:00 AM,0.031,0.015,0.246,0.095,0.026,0.012,0.065,0.042,0.102,0.132,0.05,0.203,0.344,2/16/2021
Mariposa,8,2022,3/1/2022 8:00,0.045,0.017,0.272,0.106,0.019,0.008,0.028,0.089,0.098,0.143,0.055,0.204,0.365,2/22/2022
Mariposa,9,2015,3/3/2015 8:00,0.072,0.015,0.296,0.115,0.022,0.012,0.056,0.128,0.377,0.26,0.099,0.291,0.668,2/24/2015
Mariposa,9,2016,3/1/2016 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,2/23/2016
Mariposa,9,2017,3/7/2017 8:00,0.057,0.018,0.149,0.058,0.017,0.014,0.056,0.063,0.195,0.397,0.152,0.204,0.342,2/28/2017
Mariposa,9,2018,3/6/2018 8:00,0.015,0.021,0.078,0.03,0.097,0.003,0.019,0.028,0.062,0.107,0.041,0.101,0.139,2/27/2018
Mariposa,9,2019,3/5/2019 8:00,0.036,0.015,0.18,0.07,0.015,0.008,0.016,0.067,0.062,0.08,0.031,0.214,0.239,2/26/2019
Mariposa,9,2020,3/3/2020 8:00,0.083,0.015,0.42,0.163,0.029,0.023,0.098,0.055,0.18,0.158,0.06,0.311,0.593,2/25/2020
Mariposa,9,2021,3/2/2021 8:00,0.079,0.016,0.234,0.091,0.035,0.015,0.068,0.149,0.17,0.19,0.073,0.401,0.4,2/23/2021
Mariposa,9,2022,3/8/2022 8:00,0.046,0.015,0.301,0.117,0.024,0.011,0.048,0.111,0.241,0.144,0.055,0.275,0.537,3/1/2022
Mariposa,10,2015,3/10/2015 8:00,0.138,0.014,0.284,0.11,0.031,0.024,0.056,0.151,0.175,0.284,0.108,0.395,0.455,3/3/2015
Mariposa,10,2016,3/8/2016 8:00,0.042,0.06,0.138,0.054,0.016,0.015,0.079,0.027,0.069,0.179,0.068,0.211,0.205,3/1/2016
Mariposa,10,2017,3/14/2017 8:00:00 AM,0.051,0.015,0.14,0.054,0.022,0.008,0.019,0.128,0.071,0.392,0.15,0.287,0.209,3/7/2017
Mariposa,10,2018,3/13/2018 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,3/6/2018
Mariposa,10,2019,3/12/2019 8:00,0.018,0.015,0.067,0.026,0.011,0.009,0.044,0.04,0.089,0.083,0.032,0.154,0.155,3/5/2019
Mariposa,10,2020,3/10/2020 8:00,0.1,0.015,0.504,0.196,0.042,0.02,0.076,0.19,0.451,0.187,0.071,0.473,0.947,3/3/2020
Mariposa,10,2021,3/9/2021 8:00,0.176,0.083,0.455,0.177,0.056,0.038,0.163,0.228,0.742,0.269,0.103,0.577,1.189,3/2/2021
Mariposa,10,2022,3/15/2022 8:00:00 AM,0.071,0.041,0.347,0.135,0.029,0.017,0.089,0.13,0.25,0.155,0.059,0.344,0.592,3/8/2022
Mariposa,11,2015,3/17/2015 8:00:00 AM,0.115,0.014,0.436,0.169,0.026,0.018,0.039,0.204,0.235,0.371,0.142,0.473,0.664,3/10/2015
Mariposa,11,2016,3/15/2016 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,3/8/2016
Mariposa,11,2017,3/21/2017 8:00:00 AM,0.117,0.016,0.568,0.22,0.05,0.02,0.046,0.441,0.552,0.472,0.18,0.908,1.111,3/14/2017
Mariposa,11,2018,3/20/2018 8:00:00 AM,0.019,0.046,0.14,0.054,0.018,0.01,0.043,0.06,0.094,0.193,0.074,0.111,0.231,3/13/2018
Mariposa,11,2019,3/19/2019 8:00:00 AM,0.053,0.015,0.328,0.127,0.02,0.009,0.027,0.15,0.104,0.127,0.048,0.35,0.427,3/12/2019
Mariposa,11,2020,3/17/2020 8:00:00 AM,0.035,0.03,0.192,0.074,0.022,0.014,0.063,0.127,0.343,0.086,0.033,0.271,0.532,3/10/2020
Mariposa,11,2021,3/16/2021 8:00:00 AM,0.051,0.017,0.199,0.077,0.026,0.015,0.108,0.118,0.349,0.146,0.056,0.383,0.546,3/9/2021
Mariposa,11,2022,3/22/2022 8:00:00 AM,0.107,0.015,0.366,0.142,0.028,0.021,0.041,0.046,0.098,0.09,0.034,0.35,0.458,3/15/2022
Mariposa,12,2015,3/24/2015 8:00:00 AM,0.078,0.015,0.499,0.194,0.033,0.023,0.081,0.12,0.198,0.368,0.14,0.439,0.689,3/17/2015
Mariposa,12,2016,3/22/2016 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,3/15/2016
Mariposa,12,2017,3/28/2017 8:00:00 AM,0.035,0.036,0.113,0.044,0.014,0.011,0.044,0.093,0.086,0.655,0.25,0.238,0.198,3/21/2017
Mariposa,12,2018,3/27/2018 8:00:00 AM,0.027,0.029,0.064,0.025,0.012,0.011,0.068,0.041,0.106,0.111,0.042,0.154,0.169,3/20/2018
Mariposa,12,2019,3/26/2019 8:00:00 AM,0.219,0.014,0.399,0.155,0.062,0.051,0.102,0.321,0.485,0.125,0.048,0.95,0.878,3/19/2019
Mariposa,12,2020,3/24/2020 8:00:00 AM,0.013,0.015,0.158,0.061,0.01,0.005,0.016,0.083,0.088,0.071,0.027,0.181,0.244,3/17/2020
Mariposa,12,2021,3/23/2021 8:00:00 AM,0.059,0.015,0.205,0.08,0.024,0.019,0.065,0.083,0.161,0.102,0.039,0.33,0.362,3/16/2021
Mariposa,12,2022,3/29/2022 8:00:00 AM,0.132,0.024,0.451,0.175,0.073,0.027,0.067,0.152,0.405,0.281,0.107,0.43,0.849,3/22/2022
Mariposa,13,2015,3/31/2015 8:00:00 AM,0.085,0.014,0.348,0.135,0.031,0.019,0.069,0.17,0.215,0.403,0.154,0.384,0.558,3/24/2015
Mariposa,13,2016,3/29/2016 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,3/22/2016
Mariposa,13,2017,4/4/2017 8:00,0.072,0.015,0.27,0.105,0.031,0.017,0.034,0.324,0.057,0.403,0.154,0.899,0.323,3/28/2017
Mariposa,13,2018,4/3/2018 8:00,0.077,0.015,0.314,0.122,0.035,0.018,0.053,0.191,0.218,0.181,0.069,0.437,0.527,3/27/2018
Mariposa,13,2019,4/2/2019 8:00,0.09,0.041,0.208,0.081,0.038,0.031,0.117,0.15,0.38,0.108,0.041,0.521,0.585,3/26/2019
