ISO_A3,gas,trend_type,score_type,score
ROU,co2,Recent changes,Weighted,7.16273268539482
TJK,co2,Recent changes,Weighted,0.114823875465886
TKM,co2,Recent changes,Weighted,-0.328091078432365
TUR,co2,Recent changes,Weighted,0.07995441790638
UZB,co2,Recent changes,Weighted,-8.79748597404385
ARM,co2,Recent changes,Weighted,2.60209758811142
BHR,co2,Recent changes,Weighted,-73.2843944893551
CYP,co2,Recent changes,Weighted,-11.6362385208642
DJI,co2,Recent changes,Weighted,3.62626385953373
EGY,co2,Recent changes,Weighted,3.91624594960056
ERI,co2,Recent changes,Weighted,-6.6398126844448
ETH,co2,Recent changes,Weighted,-2.74901445014392
FIN,co2,Recent changes,Weighted,-1.14211090064027
IRQ,co2,Recent changes,Weighted,2.75265477450926
ISR,co2,Recent changes,Weighted,3.52338946621739
JOR,co2,Recent changes,Weighted,-5.86418878107349
KEN,co2,Recent changes,Weighted,-16.3608019223462
KWT,co2,Recent changes,Weighted,-7.57228863104067
LBN,co2,Recent changes,Weighted,32.96963972482
NOR,co2,Recent changes,Weighted,-9.77579426034614
PSE,co2,Recent changes,Weighted,-0.208807204477186
QAT,co2,Recent changes,Weighted,2.40482309154748
SAU,co2,Recent changes,Weighted,-8.76027113225382
SDN,co2,Recent changes,Weighted,-51.4149388548646
SOM,co2,Recent changes,Weighted,-10.183942188103
SSD,co2,Recent changes,Weighted,-12.9895408728841
SYR,co2,Recent changes,Weighted,1.34127110308286
UGA,co2,Recent changes,Weighted,-17.7944095246064
YEM,co2,Recent changes,Weighted,-2.4988246283633
ATF,co2,Recent changes,Weighted,0.303689409540171
BDI,co2,Recent changes,Weighted,-28.0105817903707
COD,co2,Recent changes,Weighted,5.78976860388895
COM,co2,Recent changes,Weighted,0
DNK,co2,Recent changes,Weighted,3.99908923208911
EST,co2,Recent changes,Weighted,-3.95326231565162
GRC,co2,Recent changes,Weighted,14.7005137953648
HMD,co2,Recent changes,Weighted,
LKA,co2,Recent changes,Weighted,-20.9425800076346
LSO,co2,Recent changes,Weighted,5.05375779950244
MDG,co2,Recent changes,Weighted,7.65241682547827
MDV,co2,Recent changes,Weighted,100
MOZ,co2,Recent changes,Weighted,11.4102952135312
MUS,co2,Recent changes,Weighted,0
MWI,co2,Recent changes,Weighted,-52.8324122418479
REU,co2,Recent changes,Weighted,10.2103555713279
RWA,co2,Recent changes,Weighted,-1.9915091748606
SWE,co2,Recent changes,Weighted,-10.3520899640145
SWZ,co2,Recent changes,Weighted,-14.0802600588517
SYC,co2,Recent changes,Weighted,8.49117418613241
TZA,co2,Recent changes,Weighted,-8.1792336930339
ZAF,co2,Recent changes,Weighted,-12.1491120042213
ZMB,co2,Recent changes,Weighted,17.2939028429737
ALA,co2,Recent changes,Weighted,0
BGR,co2,Recent changes,Weighted,2.14336899333869
CZE,co2,Recent changes,Weighted,22.9279679719514
LTU,co2,Recent changes,Weighted,-13.0793563934622
MYT,co2,Recent changes,Weighted,10.2103555713279
POL,co2,Recent changes,Weighted,-0.734600596393101
SJM,co2,Recent changes,Weighted,1.41154658298704
SVK,co2,Recent changes,Weighted,6.0223755800527
ALB,co2,Recent changes,Weighted,6.85919111829442
AUT,co2,Recent changes,Weighted,10.6023131670889
BEL,co2,Recent changes,Weighted,-3.43687792449823
BIH,co2,Recent changes,Weighted,5.99545520042615
DEU,co2,Recent changes,Weighted,13.3745536712368
FRA,co2,Recent changes,Weighted,10.2103555713279
GGY,co2,Recent changes,Weighted,100
HRV,co2,Recent changes,Weighted,25.1784370527032
HUN,co2,Recent changes,Weighted,14.3139282335536
IMN,co2,Recent changes,Weighted,0
