County,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM2.5
Sonoma,2017,Child vs. adult,0-17 years,14.7,(0.6-28.7),8.141174457534246
Alameda,2017,Child vs. adult,18+ years,13.3,(9.4-17.2),8.544456832876712
Calaveras,2017,Child vs. adult,18+ years,24.1,(12.6-35.7),13.426007080851065
Colusa,2017,Child vs. adult,18+ years,18.9,(10.0-27.9),4.494898897727273
Contra Costa,2017,Child vs. adult,18+ years,19.7,(14.9-24.6),12.12643277260274
Del Norte,2017,Child vs. adult,18+ years,19.3,(10.2-28.5),6.042508052044609
Fresno,2017,Child vs. adult,18+ years,20.5,(14.7-26.2),14.306137271232878
Inyo,2017,Child vs. adult,18+ years,24.1,(12.6-35.7),4.8256149390581715
Kern,2017,Child vs. adult,18+ years,16.3,(10.3-22.4),5.582799935860058
Kings,2017,Child vs. adult,18+ years,15.2,(10.3-20.0),15.58622046849315
Los Angeles,2017,Child vs. adult,18+ years,14.5,(13.2-15.9),14.51671570958904
Madera,2017,Child vs. adult,18+ years,18.9,(11.6-26.2),12.637436077363898
Marin,2017,Child vs. adult,18+ years,15.1,(8.9-21.2),9.734643673076922
Mendocino,2017,Child vs. adult,18+ years,16.1,(7.4-24.7),9.474811715068492
Merced,2017,Child vs. adult,18+ years,17.6,(10.0-25.1),13.324097207865169
Monterey,2017,Child vs. adult,18+ years,15.3,(8.4-22.2),5.2161222
Napa,2017,Child vs. adult,18+ years,24.8,(11.1-38.4),13.772145838440112
Nevada,2017,Child vs. adult,18+ years,18.0,(7.9-28.1),1.3049699444444445
Orange,2017,Child vs. adult,18+ years,12.3,(9.2-15.5),13.63019380453258
Placer,2017,Child vs. adult,18+ years,15.5,(7.6-23.4),5.694472140449438
Riverside,2017,Child vs. adult,18+ years,15.5,(8.8-22.2),7.227502361643836
Sacramento,2017,Child vs. adult,18+ years,22.0,(17.4-26.7),7.630320423398328
San Benito,2017,Child vs. adult,18+ years,20.7,(0.5-41.0),5.089773494444445
San Bernardino,2017,Child vs. adult,18+ years,16.0,(12.4-19.6),15.927017073972603
San Diego,2017,Child vs. adult,18+ years,15.8,(13.2-18.5),5.684045816155988
San Francisco,2017,Child vs. adult,18+ years,13.7,(8.1-19.2),9.725019513966481
San Joaquin,2017,Child vs. adult,18+ years,21.4,(13.1-29.7),12.19704617857143
San Luis Obispo,2017,Child vs. adult,18+ years,15.4,(8.9-21.8),9.218007512328766
San Mateo,2017,Child vs. adult,18+ years,16.0,(9.9-22.2),9.05318986235955
Santa Barbara,2017,Child vs. adult,18+ years,16.5,(3.8-29.1),10.732439230136986
Santa Clara,2017,Child vs. adult,18+ years,15.2,(11.6-18.8),5.968408071232877
Santa Cruz,2017,Child vs. adult,18+ years,17.5,(10.5-24.4),7.134861451523546
Solano,2017,Child vs. adult,18+ years,22.7,(12.0-33.3),11.58084198611111
Sonoma,2017,Child vs. adult,18+ years,18.8,(8.6-28.9),8.141174457534246
Stanislaus,2017,Child vs. adult,18+ years,17.7,(9.3-26.1),12.903959479452054
Tehama,2017,Child vs. adult,18+ years,18.9,(10.0-27.9),7.215164681286549
Ventura,2017,Child vs. adult,18+ years,12.7,(7.9-17.4),8.949734687671233
Los Angeles,2017,Age groups,0-4 years,6.5,(1.2-11.7),14.51671570958904
Alameda,2017,Age groups,5-17 years,15.4,(4.1-26.7),8.544456832876712
Fresno,2017,Age groups,5-17 years,24.1,(4.7-43.6),14.306137271232878
Los Angeles,2017,Age groups,5-17 years,17.9,(12.3-23.5),14.51671570958904
Orange,2017,Age groups,5-17 years,13.6,(2.5-24.8),13.63019380453258
Riverside,2017,Age groups,5-17 years,20.5,(8.4-32.5),7.227502361643836
Sacramento,2017,Age groups,5-17 years,17.9,(3.0-32.7),7.630320423398328
San Bernardino,2017,Age groups,5-17 years,18.3,(4.9-31.7),15.927017073972603
San Diego,2017,Age groups,5-17 years,13.5,(6.3-20.6),5.684045816155988
San Joaquin,2017,Age groups,5-17 years,35.4,(5.2-65.6),12.19704617857143
Santa Clara,2017,Age groups,5-17 years,18.5,(5.2-31.7),5.968408071232877
Alameda,2017,Age groups,18-64 years,13.2,(9.1-17.3),8.544456832876712
Calaveras,2017,Age groups,18-64 years,25.5,(9.7-41.4),13.426007080851065
Colusa,2017,Age groups,18-64 years,19.8,(10.2-29.5),4.494898897727273
Contra Costa,2017,Age groups,18-64 years,21.0,(15.1-26.8),12.12643277260274
Del Norte,2017,Age groups,18-64 years,20.4,(8.0-32.8),6.042508052044609
Fresno,2017,Age groups,18-64 years,21.2,(14.6-27.7),14.306137271232878
Inyo,2017,Age groups,18-64 years,25.5,(9.7-41.4),4.8256149390581715
Kern,2017,Age groups,18-64 years,16.7,(9.0-24.5),5.582799935860058
Kings,2017,Age groups,18-64 years,15.5,(9.1-22.0),15.58622046849315
Los Angeles,2017,Age groups,18-64 years,14.9,(13.3-16.5),14.51671570958904
Madera,2017,Age groups,18-64 years,19.3,(10.4-28.1),12.637436077363898
Marin,2017,Age groups,18-64 years,15.6,(7.4-23.8),9.734643673076922
Mendocino,2017,Age groups,18-64 years,14.7,(2.8-26.6),9.474811715068492
Merced,2017,Age groups,18-64 years,16.0,(6.7-25.2),13.324097207865169
Monterey,2017,Age groups,18-64 years,15.5,(7.3-23.7),5.2161222
Napa,2017,Age groups,18-64 years,26.0,(9.4-42.6),13.772145838440112
Nevada,2017,Age groups,18-64 years,22.4,(6.5-38.3),1.3049699444444445
Orange,2017,Age groups,18-64 years,12.8,(8.9-16.7),13.63019380453258
Placer,2017,Age groups,18-64 years,16.5,(6.1-26.9),5.694472140449438
Riverside,2017,Age groups,18-64 years,16.4,(8.9-23.8),7.227502361643836
Sacramento,2017,Age groups,18-64 years,22.5,(17.0-27.9),7.630320423398328
San Bernardino,2017,Age groups,18-64 years,16.6,(12.3-20.9),15.927017073972603
San Diego,2017,Age groups,18-64 years,16.8,(13.2-20.3),5.684045816155988
San Francisco,2017,Age groups,18-64 years,13.8,(8.4-19.2),9.725019513966481
San Joaquin,2017,Age groups,18-64 years,23.8,(14.0-33.5),12.19704617857143
San Luis Obispo,2017,Age groups,18-64 years,14.4,(6.6-22.2),9.218007512328766
San Mateo,2017,Age groups,18-64 years,16.2,(8.9-23.5),9.05318986235955
Santa Barbara,2017,Age groups,18-64 years,18.0,(0.4-35.6),10.732439230136986
Santa Clara,2017,Age groups,18-64 years,14.9,(11.0-18.9),5.968408071232877
Santa Cruz,2017,Age groups,18-64 years,17.5,(9.8-25.2),7.134861451523546
Solano,2017,Age groups,18-64 years,23.1,(10.6-35.6),11.58084198611111
Sonoma,2017,Age groups,18-64 years,18.3,(6.3-30.3),8.141174457534246
Stanislaus,2017,Age groups,18-64 years,18.2,(9.3-27.2),12.903959479452054
Tehama,2017,Age groups,18-64 years,19.8,(10.2-29.5),7.215164681286549
Ventura,2017,Age groups,18-64 years,11.5,(6.5-16.5),8.949734687671233
Alameda,2017,Age groups,65+ years,13.7,(5.1-22.4),8.544456832876712
Calaveras,2017,Age groups,65+ years,20.6,(7.6-33.5),13.426007080851065
Colusa,2017,Age groups,65+ years,16.7,(2.6-30.9),4.494898897727273
Contra Costa,2017,Age groups,65+ years,15.0,(6.3-23.7),12.12643277260274
Del Norte,2017,Age groups,65+ years,16.5,(5.2-27.9),6.042508052044609
