County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
Merced,2015,Age groups,65+ years,17.1,(5.6-28.6),30.155172413793103
Mono,2015,Age groups,65+ years,19.7,(5.8-33.5),15.90958904109589
Orange,2015,Age groups,65+ years,16.2,(9.5-23.0),24.744505494505493
Placer,2015,Age groups,65+ years,14.1,(6.3-21.8),16.90566037735849
Riverside,2015,Age groups,65+ years,8.6,(4.1-13.2),56.72054794520548
Sacramento,2015,Age groups,65+ years,15.2,(6.3-24.1),20.643835616438356
San Bernardino,2015,Age groups,65+ years,14.3,(5.5-23.1),22.624657534246577
San Diego,2015,Age groups,65+ years,12.6,(8.7-16.5),20.838461538461537
San Francisco,2015,Age groups,65+ years,11.9,(0.8-23.1),18.066666666666666
San Joaquin,2015,Age groups,65+ years,17.8,(6.1-29.5),27.344444444444445
San Luis Obispo,2015,Age groups,65+ years,17.3,(3.4-31.3),16.73972602739726
Santa Barbara,2015,Age groups,65+ years,11.5,(5.7-17.4),22.602739726027398
Santa Clara,2015,Age groups,65+ years,11.2,(5.3-17.0),20.96551724137931
Shasta,2015,Age groups,65+ years,12.6,(2.4-22.8),12.852459016393443
Siskiyou,2015,Age groups,65+ years,22.2,(7.6-36.9),13.266666666666667
Solano,2015,Age groups,65+ years,20.6,(4.4-36.7),12.175438596491228
Sonoma,2015,Age groups,65+ years,9.9,(2.8-16.9),9.449315068493151
Stanislaus,2015,Age groups,65+ years,25.5,(11.1-39.9),26.192200557103064
Sutter,2015,Age groups,65+ years,16.5,(4.8-28.3),21.997206703910614
Tehama,2015,Age groups,65+ years,15.0,(1.2-28.7),20.43103448275862
Tulare,2015,Age groups,65+ years,17.3,(7.3-27.3),50.15428571428571
Ventura,2015,Age groups,65+ years,13.0,(6.5-19.5),21.243835616438357
Yolo,2015,Age groups,65+ years,10.2,(0.9-19.5),21.307692307692307
Butte,2017,Total population,All ages,15.5,(6.2-24.8),22.15076923076923
Calaveras,2017,Total population,All ages,18.6,(8.5-28.7),16.58744394618834
Colusa,2017,Total population,All ages,14.9,(7.6-22.1),24.005797101449275
Contra Costa,2017,Total population,All ages,17.5,(12.8-22.1),16.868852459016395
El Dorado,2017,Total population,All ages,13.3,(5.2-21.3),17.258160237388726
Fresno,2017,Total population,All ages,19.8,(13.7-25.8),38.36164383561644
Glenn,2017,Total population,All ages,14.9,(7.6-22.1),24.69705882352941
Humboldt,2017,Total population,All ages,17.3,(9.5-25.2),18.080745341614907
Imperial,2017,Total population,All ages,14.7,(5.7-23.8),54.86027397260274
Inyo,2017,Total population,All ages,18.6,(8.5-28.7),17.473972602739725
Kern,2017,Total population,All ages,16.0,(8.9-23.1),30.370481927710845
Kings,2017,Total population,All ages,18.4,(11.3-25.5),52.90958904109589
Lake,2017,Total population,All ages,15.2,(7.4-23.1),12.828125
Los Angeles,2017,Total population,All ages,14.6,(13.0-16.2),31.767123287671232
Madera,2017,Total population,All ages,15.5,(6.6-24.4),34.16986301369863
